areaLand,isPartOf_label
NULL,{Himachal Pradesh|Kangra district}
NULL,{HaLink_titleryana|Mewat}
NULL,{Sonbhadra district|Uttar Pradesh}
NULL,{Banda district|Uttar Pradesh}
NULL,{Jalgaon district|Maharashtra}
NULL,{Balrampur district|Uttar Pradesh}
NULL,{Rajasthan|Sri Ganganagar district}
NULL,{Gujarat|Rajkot district}
NULL,{Bargarh district|Odisha}
NULL,{Bulandshahr district|Uttar Pradesh}
NULL,{Dharmapuri district|Tamil Nadu}
NULL,{Madurai district|Tamil Nadu}
NULL,{Assam|Kamrup district}
NULL,{Dindigul district|Tamil Nadu}
NULL,{Madhya Pradesh|Tikamgarh district}
NULL,{Jabalpur district|Madhya Pradesh}
NULL,{Jammu and Kashmir|Pulwama district}
NULL,{Chhindwara district|Madhya Pradesh}
NULL,{Karnataka|Mandya district}
NULL,{Khandwa district|Madhya Pradesh}
NULL,{Chhindwara district|Madhya Pradesh}
NULL,{Barwani district|Madhya Pradesh}
NULL,{Kannur district|Kerala}
NULL,{Jhansi district|Uttar Pradesh}
NULL,{Jammu and Kashmir|Kathua district}
NULL,{Jalna district|Maharashtra}
NULL,{Andhra Pradesh|Medak district}
NULL,{Chhattisgarh|Jashpur district}
NULL,{Ahmednagar district|Maharashtra}
NULL,{Maharashtra|Parbhani district}
NULL,{Dhanbad district|Jharkhand}
NULL,{Balangir district|Odisha}
NULL,{Jharkhand|Ramgarh district}
NULL,{Akola district|Maharashtra}
NULL,{Bhandara district|Maharashtra}
NULL,{Madhya Pradesh|Panna district}
NULL,{Haryana|Kurukshetra district}
NULL,{Bilaspur district Chhattisgarh|Chhattisgarh}
NULL,{Cuddalore district|Tamil Nadu}
NULL,{Dharmapuri district|Tamil Nadu}
NULL,{Madurai district|Tamil Nadu}
NULL,{Tamil Nadu|Thanjavur district}
NULL,{Tamil Nadu|Theni district}
NULL,{Tamil Nadu|Tirupur district}
NULL,{Goa|North Goa|Pernem taluk}
NULL,{Jhabua district|Madhya Pradesh}
NULL,{Meerut district|Uttar Pradesh}
NULL,{Jaipur district|Rajasthan}
NULL,{Azamgarh district|Uttar Pradesh}
NULL,{Bihar|Patna district}
NULL,{Hardoi district|Uttar Pradesh}
NULL,{Hanumangarh district|Rajasthan}
NULL,{Odisha|Puri district}
NULL,{Sonbhadra district|Uttar Pradesh}
NULL,{Gorakhpur district|Uttar Pradesh}
NULL,{Jhalawar district|Rajasthan}
NULL,{Chhattisgarh|Mahasamund district}
NULL,{Ganjam district|Odisha}
NULL,{Tamil Nadu|Tiruvallur district}
NULL,{Madhya Pradesh|Morena district}
NULL,{Ramabai Nagar district|Uttar Pradesh}
NULL,{Karur district|Tamil Nadu}
NULL,{Andhra Pradesh|Chittoor district}
NULL,{Maharashtra|Parbhani district}
NULL,{Unnao district|Uttar Pradesh}
NULL,{Gautam Buddh Nagar district|Uttar Pradesh}
NULL,{Aurangabad district Bihar|Bihar}
NULL,{Bihar|Buxar district}
NULL,{Punjab India|Shahid Bhagat Singh Nagar district}
NULL,{Madhya Pradesh|Sagar district}
NULL,{Ludhiana district|Punjab India}
NULL,{Ahmednagar district|Maharashtra}
NULL,{Dholpur district|Rajasthan}
NULL,{Churu district|Rajasthan}
NULL,{Jammu and Kashmir|Rajouri district}
NULL,{Barwani district|Madhya Pradesh}
NULL,{South 24 Parganas district|West Bengal}
NULL,{Chandrapur district|Maharashtra}
NULL,{Kushinagar district|Uttar Pradesh}
NULL,{Andhra Pradesh|East Godavari district}
NULL,{Jhabua district|Madhya Pradesh}
NULL,{Maharashtra|Nagpur district}
NULL,{Gujarat|Porbandar district}
NULL,{Jammu and Kashmir|Jammu district}
NULL,{Pali district|Rajasthan}
NULL,{Bardhaman district|West Bengal}
NULL,{Jhansi district|Uttar Pradesh}
NULL,{Gujarat|Kutch District}
NULL,{Ballia district|Uttar Pradesh}
NULL,{Unnao district|Uttar Pradesh}
NULL,{Fatehabad district|Haryana}
NULL,{Hanumangarh district|Rajasthan}
NULL,{Andhra Pradesh|YSR district}
NULL,{Jammu and Kashmir|Reasi district}
NULL,{Madhya Pradesh|Sagar district}
NULL,{Madhya Pradesh|Sehore district}
NULL,{Andhra Pradesh|Chittoor district}
NULL,{Bareilly district|Uttar Pradesh}
NULL,{Himachal Pradesh|Shimla district}
NULL,{Gadag district|Haveri|Karnataka}
NULL,{Faizabad district|Uttar Pradesh}
NULL,{Rudraprayag district|Uttarakhand}
NULL,{Ramabai Nagar district|Uttar Pradesh}
NULL,{Madhya Pradesh|Morena district}
NULL,{South Tripura district|Tripura}
NULL,{Hathras district|Uttar Pradesh}
NULL,{Belgaum district|Karnataka}
NULL,{Pali district|Rajasthan}
NULL,{Dungarpur district|Rajasthan}
NULL,{Bijnor district|Uttar Pradesh}
NULL,{Kashiram_Nagar|Uttar Pradesh}
NULL,{Budaun district|Uttar Pradesh}
NULL,{Maharashtra|Parbhani district}
NULL,{Aizawl district|Mizoram}
NULL,{Hassan district|Karnataka}
NULL,{Dwarka_district|Gujarat}
NULL,{Andhra Pradesh|Vizianagaram district}
NULL,{Rajasthan|Udaipur district}
NULL,{Haryana|Panipat}
NULL,{Ludhiana district|Punjab India}
NULL,{Patiala district|Punjab India}
NULL,{Khargone district|Madhya Pradesh}
NULL,{Hardoi district|Uttar Pradesh}
NULL,{Hardoi district|Uttar Pradesh}
NULL,{Ahmednagar district|Maharashtra}
NULL,{Kota district|Rajasthan}
NULL,{Himachal Pradesh|Una district}
NULL,{Assam|Dhubri district}
NULL,{Chhattisgarh|Mahasamund district}
NULL,{Madhya Pradesh|Rajgarh district}
NULL,{Assam|Dibrugarh district}
NULL,{Ajmer district|Rajasthan}
NULL,{Barabanki district|Uttar Pradesh}
NULL,{Chhindwara district|Madhya Pradesh}
NULL,{Kannauj district|Uttar Pradesh}
NULL,{Jalgaon district|Maharashtra}
NULL,{Bijnor district|Uttar Pradesh}
NULL,{Datia district|Madhya Pradesh}
NULL,{Maharashtra|Thane district}
NULL,{Madhya Pradesh|Sagar district}
NULL,{Jalandhar district|Punjab India}
NULL,{Shamli district|Uttar Pradesh}
NULL,{Agra district|Uttar Pradesh}
NULL,{Bijnor district|Uttar Pradesh}
NULL,Uttar Pradesh
NULL,{Maharashtra|Satara district}
NULL,{Bareilly district|Uttar Pradesh}
NULL,{Madhya Pradesh|Shajapur district}
NULL,{Etah district|Uttar Pradesh}
NULL,{Jabalpur district|Madhya Pradesh}
NULL,{Bhavnagar district|Gujarat}
NULL,{Dhanbad district|Jharkhand}
NULL,{Chhattisgarh|Raipur district}
NULL,{Bijapur district Karnataka|Karnataka}
NULL,{Madhya Pradesh|Neemuch district}
NULL,{East Sikkim district|Sikkim}
NULL,{Maharashtra|Nashik district}
NULL,{Karnataka|Shimoga district}
NULL,{Allahabad district|Uttar Pradesh}
NULL,{Sambhal district|Uttar Pradesh}
NULL,{Bellary district|Karnataka}
NULL,{Udham Singh Nagar district|Uttarakhand}
NULL,{Hoshangabad district|Madhya Pradesh}
NULL,{Gurgaon district|Haryana}
NULL,{Pali district|Rajasthan}
NULL,{Andhra Pradesh|Srikakulam district}
NULL,{Gujarat|Tapi district}
NULL,{Karnataka|Sagara Shimoga district}
NULL,{North 24 Parganas district|West Bengal}
NULL,{Kasganj district|Uttar Pradesh}
NULL,{Karnataka|Kolar district}
NULL,{Assam|Kamrup district}
NULL,{Tamil Nadu|Virudhunagar district}
NULL,{Kota district|Rajasthan}
NULL,{Punjab India|Sangrur district}
NULL,{Jammu and Kashmir|Rajouri district}
NULL,{Himachal Pradesh|Mandi district}
NULL,{Jhunjhunu district|Rajasthan}
NULL,{Tamil Nadu|Tirunelveli district}
NULL,{Rajasthan|Sri Ganganagar district}
NULL,{Madhya Pradesh|Shajapur district}
NULL,{Anantapur district|Andhra Pradesh}
NULL,{Bilaspur district Chhattisgarh|Chhattisgarh}
NULL,{Bhavnagar district|Gujarat}
NULL,{Kannauj district|Uttar Pradesh}
NULL,{Hoshiarpur district|Punjab India}
NULL,{Champawat district|Uttarakhand}
NULL,{Rampur district|Uttar Pradesh}
NULL,{Maharashtra|Sangli district}
NULL,{Gwalior district|Madhya Pradesh}
NULL,{Madhya Pradesh|Rewa District}
NULL,{Moradabad district|Uttar Pradesh}
NULL,{Jammu and Kashmir|Rajouri district}
NULL,{Jhabua district|Madhya Pradesh}
NULL,{Salem district|Tamil Nadu}
NULL,{Tamil Nadu|Thanjavur district}
NULL,{Tamil Nadu|Tiruvarur district}
NULL,{Tamil Nadu|Thanjavur district}
NULL,{Manipur|Thoubal district}
NULL,{Alwar district|Rajasthan}
NULL,{Bagpat district|Uttar Pradesh}
NULL,{Banda district|Uttar Pradesh}
NULL,{Tamil Nadu|Viluppuram district}
NULL,{Hamirpur district Himachal Pradesh|Himachal Pradesh}
NULL,{Karnataka|Tumkur district}
NULL,{Balaghat district|Madhya Pradesh}
NULL,{North 24 Parganas district|West Bengal}
NULL,{Saharanpur district|Uttar Pradesh}
NULL,{Fatehabad district|Haryana}
NULL,{Maharashtra|Nashik district}
NULL,{Cooch Behar district|West Bengal}
NULL,{Balrampur district|Uttar Pradesh}
NULL,{Bhandara district|Maharashtra}
NULL,{Karnataka|Tumkur district}
NULL,{Haryana|Jind district}
NULL,{Assam|Udalguri district}
NULL,{Kota district|Rajasthan}
NULL,{Budaun district|Uttar Pradesh}
NULL,{Balaghat district|Madhya Pradesh}
NULL,{Howrah district|West Bengal}
NULL,{Maharashtra|Osmanabad district}
NULL,{Maharashtra|Yavatmal district}
NULL,{Muzaffarnagar district|Uttar Pradesh}
NULL,{Madhya Pradesh|Ujjain district}
NULL,{Rajasthan|Tonk district}
NULL,{Gujarat|Mehsana district}
NULL,{Gujarat|Rajkot district}
NULL,{Anantapur district|Andhra Pradesh}
NULL,{Budaun district|Uttar Pradesh}
NULL,{Gujarat|Surat district}
NULL,{South 24 Parganas district|West Bengal}
NULL,{Gujarat|Mehsana district}
NULL,{Aurangabad district Maharashtra|Maharashtra}
NULL,{Goa|South Goa}
NULL,{Bhavnagar district|Gujarat}
NULL,{Dindigul district|Tamil Nadu}
NULL,{Dehradun district|Uttarakhand}
NULL,{Namakkal district|Tamil Nadu}
NULL,{Tamil Nadu|Tiruvallur district}
NULL,{Gujarat|Mehsana district}
NULL,{Bangalore Rural district|Karnataka}
NULL,{Tamil Nadu|Tirunelveli district}
NULL,{Ahmedabad district|Gujarat}
NULL,{Cuddalore district|Tamil Nadu}
NULL,{Gujarat|Junagadh district}
NULL,{Gujarat|Mehsana district}
NULL,{Gujarat|Tapi district}
NULL,{Gujarat|Rajkot district}
NULL,{Budaun district|Uttar Pradesh}
NULL,{Bharatpur district|Rajasthan}
NULL,{Karnataka|Koppal district}
NULL,{Andhra Pradesh|YSR district}
NULL,{Himachal Pradesh|Kangra district}
NULL,{Echt-Susteren|Limburg (Netherlands)}
NULL,{Himachal Pradesh|Kullu district}
NULL,{Chamba district|Himachal Pradesh}
NULL,{Himachal Pradesh|Shimla district}
NULL,{Himachal Pradesh|Shimla district}
NULL,{Jos South|Plateau State}
NULL,Oaxaca
7.12506e+06,{Alabama|Barbour County Alabama}
1.46394e+08,{California|Los Angeles County California}
NULL,{New York|Queens}
NULL,{Fujian|Zhangzhou}
NULL,Jalisco
NULL,{Gulbarga district|Karnataka}
NULL,{Hood County Texas|Texas}
NULL,{Hood County Texas|Texas}
NULL,{Hood County Texas|Johnson County Texas|Parker County Texas|Texas}
NULL,{Grimes County Texas|Texas}
NULL,NULL
NULL,NULL
NULL,{Tamil Nadu|Tiruvannamalai district}
NULL,{Rajasthan|Sikar district}
NULL,{Texas|Travis County Texas}
NULL,Phuket Province
NULL,{Daman and Diu|Diu district}
NULL,{Merauke Regency|Papua (province)}
NULL,Gujarat
NULL,West Papua (province)
NULL,{Jalgaon district|Maharashtra}
NULL,Oaxaca
NULL,Alibori Department
NULL,NULL
NULL,{Horokhiv Raion|Volyn Oblast}
NULL,{Cooch Behar district|West Bengal}
{3.49648e+07|3.5e+07},{Arapahoe County Colorado|Colorado|Douglas County Colorado|Jefferson County Colorado}
