areaLand,isPartOf_label
{1.19e+06|1.19139e+06},{Clayton County Iowa|Iowa}
{5.46e+06|5.46487e+06},{Clayton County Iowa|Iowa}
{1.47629e+06|1.48e+06},{Clinton County Iowa|Iowa}
{8.46926e+06|8.47e+06},{Dallas County Iowa|Iowa}
{1.9658e+07|1.966e+07},{Dallas County Iowa|Iowa|Polk County Iowa}
{3.31518e+06|3.32e+06},{Dallas County Iowa|Iowa}
{5.82747e+06|5.83e+06},{Davis County Iowa|Iowa}
{850000.0|854696.0},{Decatur County Iowa|Iowa}
{958296.0|960000.0},{Delaware County Iowa|Iowa}
{1.212e+07|1.21211e+07},{Delaware County Iowa|Iowa}
{3.75e+07|3.7503e+07},{Des Moines County Iowa|Iowa}
{2.79719e+06|2.8e+06},{Dickinson County Iowa|Iowa}
{1.42e+06|1.42449e+06},{Dickinson County Iowa|Iowa}
{280000.0|284899.0},{Dubuque County Iowa|Iowa}
{4.84e+06|4.84328e+06},{Dubuque County Iowa|Iowa|Jones County Iowa}
NULL,{Politics of Novi Sad|South Bačka District|Vojvodina}
{5.1e+06|5.10228e+06},{Dubuque County Iowa|Iowa}
{1.37787e+07|1.378e+07},{Emmet County Iowa|Iowa}
{1.24578e+07|1.246e+07},{Fayette County Iowa|Iowa}
{1.61097e+07|1.611e+07},{Floyd County Iowa|Iowa|Saint Charles Township Floyd County Iowa}
{1.63e+06|1.63169e+06},{Floyd County Iowa|Iowa}
{1.147e+07|1.14736e+07},{Franklin County Iowa|Iowa}
{2.84899e+06|2.85e+06},{Fremont County Iowa|Iowa}
{3.57e+06|3.57418e+06},{Fremont County Iowa|Iowa}
{1.19e+06|1.19139e+06},{Guthrie County Iowa|Iowa}
{2.33e+06|2.33099e+06},{Hamilton County Iowa|Iowa}
{2.58999e+06|2.59e+06},{Hardin County Iowa|Iowa}
{2.58999e+06|2.59e+06},{Harrison County Iowa|Iowa}
{8.10666e+06|8.11e+06},{Harrison County Iowa|Iowa}
{2.204e+07|2.20408e+07},{Henry County Iowa|Iowa}
{336698.0|340000.0},{Henry County Iowa|Iowa}
{8.67646e+06|8.68e+06},{Howard County Iowa|Iowa}
{906496.0|910000.0},{Humboldt County Iowa|Iowa}
{1.91659e+06|1.92e+06},{Humboldt County Iowa|Iowa}
{1.47629e+06|1.48e+06},{Humboldt County Iowa|Iowa}
{3.85908e+06|3.86e+06},{Ida County Iowa|Iowa}
{699297.0|700000.0},{Iowa|Jackson County Iowa}
{4.63608e+06|4.64e+06},{Iowa|Jasper County Iowa}
{1.68e+06|1.68349e+06},{Iowa|Jasper County Iowa}
{4.37708e+06|4.38e+06},{Iowa|Jasper County Iowa}
{2.898e+07|2.8982e+07},{Iowa|Jasper County Iowa}
{129499.0|130000.0},{Iowa|Jasper County Iowa}
{1.621e+07|1.62133e+07},{Iowa|Jefferson County Iowa}
{6.47756e+07|6.478e+07},{Iowa|Iowa City metropolitan area|Johnson County Iowa}
{3.6e+06|3.60008e+06},{Iowa|Johnson County Iowa}
{6.73e+06|6.73397e+06},{Iowa|Jones County Iowa}
{230000.0|233099.0},{Iowa|Keokuk County Iowa}
{5.64617e+06|5.65e+06},{Iowa|Keokuk County Iowa}
{880000.0|880596.0},{Iowa|Kossuth County Iowa}
{1.0878e+06|1.09e+06},{Iowa|Kossuth County Iowa}
{2.36466e+07|2.365e+07},{Iowa|Lee County Iowa}
{2.9e+06|2.90079e+06},{Iowa|Lee County Iowa}
{1.57989e+06|1.58e+06},{Iowa|Lee County Iowa}
{2.12e+06|2.12379e+06},{Iowa|Linn County Iowa}
{1.8337e+08|1.83371e+08},{Iowa|Linn County Iowa}
{1.09556e+07|1.096e+07},{Iowa|Linn County Iowa}
{9.89e+06|9.89375e+06},{Iowa|Lucas County Iowa}
{3.34e+06|3.34108e+06},{Iowa|Louisa County Iowa}
{3.47e+06|3.47058e+06},{Iowa|Lyon County Iowa}
{2.56e+06|2.56409e+06},{Iowa|Lyon County Iowa}
{4.71e+06|4.71378e+06},{Iowa|Lyon County Iowa}
{2.58999e+06|2.59e+06},{Iowa|Mahaska County Iowa}
{258999.0|260000.0},{Iowa|Mahaska County Iowa}
{1.344e+07|1.3442e+07},{Iowa|Monona County Iowa}
{8.26e+06|8.26206e+06},{Iowa|Monroe County Iowa}
{4.48068e+07|4.481e+07},{Iowa|Muscatine County Iowa}
{1.37e+06|1.37269e+06},{Iowa|Page County Iowa}
{2.84899e+06|2.85e+06},{Iowa|Page County Iowa}
{5.23e+06|5.23178e+06},{Iowa|Pocahontas County Iowa}
{2.42164e+07|2.422e+07},{Iowa|Polk County Iowa}
{1.83889e+06|1.84e+06},{Iowa|Pottawattamie County Iowa}
{1.45e+07|1.45039e+07},{Iowa|Poweshiek County Iowa}
{6.42e+06|6.42317e+06},{Iowa|Poweshiek County Iowa}
{1.86e+06|1.86479e+06},{Iowa|Ringgold County Iowa}
{1.60579e+06|1.61e+06},{Iowa|Ringgold County Iowa}
{1.25873e+07|1.259e+07},{Iowa|Sac County Iowa}
{7.48507e+06|7.49e+06},{Iowa|Muscatine County Iowa|Scott County Iowa}
{1.67054e+07|1.671e+07},{Iowa|Scott County Iowa}
{6.63e+06|6.63037e+06},{Iowa|Scott County Iowa}
1.137e+07,{Iowa|Shelby County Iowa}
{1.94e+06|1.94249e+06},{Iowa|Sioux County Iowa}
{2.84899e+06|2.85e+06},{Iowa|Story County Iowa}
{2.74539e+06|2.75e+06},{Iowa|Story County Iowa}
{1.76e+06|1.76119e+06},{Iowa|Story County Iowa}
{6.21597e+06|7.25e+06},{Iowa|Story County Iowa}
{2.61589e+06|2.62e+06},{Iowa|Tama County Iowa}
{1.68e+06|1.68349e+06},{Iowa|Taylor County Iowa}
{230000.0|233099.0},{Iowa|Union County Iowa}
{2.74539e+06|2.75e+06},{Iowa|Van Buren County Iowa}
{958296.0|960000.0},{Iowa|Van Buren County Iowa}
{699297.0|700000.0},{Iowa|Wapello County Iowa}
{4.10772e+07|4.108e+07},{Iowa|Wapello County Iowa}
{2.78165e+07|2.782e+07},{Iowa|Polk County Iowa|Warren County Iowa}
{5.28e+06|5.28358e+06},{Iowa|Washington County Iowa}
{3.6e+06|3.60008e+06},{Iowa|Wayne County Iowa}
{1.57989e+06|1.58e+06},{Iowa|Wayne County Iowa}
{4.15693e+07|4.157e+07},{Iowa|Webster County Iowa}
{207199.0|210000.0},{Iowa|Winnebago County Iowa}
{9.73836e+06|9.74e+06},{Iowa|Worth County Iowa}
{1.39859e+06|1.4e+06},{Iowa|Wright County Iowa}
{3.08e+06|3.08209e+06},{Iowa|Wright County Iowa}
{1.83889e+06|1.84e+06},{Crawford County Kansas|Kansas}
NULL,{Frontenac County|Ontario}
{1.82076e+07|1.821e+07},{Kansas|Neosho County Kansas}
{2.30509e+06|2.31e+06},{Kansas|Osage County Kansas}
{1.90882e+07|1.909e+07},{Kansas|Pratt County Kansas}
{1.24e+06|1.24319e+06},{Kansas|Republic County Kansas}
{5.15e+06|5.15408e+06},{Kansas|Sedgwick County Kansas}
{2.58999e+06|2.59e+06},{Kansas|Stafford County Kansas}
{3.23256e+08|3.2326e+08},{Kansas|Wyandotte County Kansas}
{500000.0|517998.0},{Ballard County Kentucky|Kentucky}
{4.14398e+06|4.2e+06},{Breckinridge County Kentucky|Kentucky}
{2.33099e+06|2.4e+06},{Campbell County Kentucky|Kentucky}
1.96839e+07,{Clark County Kentucky|Kentucky}
{2.5e+06|2.58999e+06},{Gallatin County Kentucky|Kentucky}
{1.5e+06|1.55399e+06},{Grayson County Kentucky|Kentucky}
{2.27e+07|2.27919e+07},{Grayson County Kentucky|Kentucky}
{6.57e+07|6.57857e+07},{Hardin County Kentucky|Kentucky}
{776996.0|800000.0},{Jefferson County Kentucky|Kentucky}
6.73397e+06,{Jessamine County Kentucky|Kentucky}
{3.39288e+07|3.4e+07},{Kenton County Kentucky|Kentucky}
{5.43898e+06|5.5e+06},{Kentucky|Magoffin County Kentucky}
{4.94688e+07|4.95e+07},{Kentucky|Madison County Kentucky}
{5.15408e+07|5.16e+07},{Kentucky|Mason County Kentucky}
{5.15e+07|5.15408e+07},{Kentucky|McCracken County Kentucky}
{3.3e+06|3.36698e+06},{Kentucky|Nicholas County Kentucky}
{517998.0|600000.0},{Kentucky|Pendleton County Kentucky}
{2.38279e+07|2.39e+07},{Kentucky|Rowan County Kentucky}
{9.16856e+07|9.17e+07},{Kentucky|Warren County Kentucky}
{2.0528e+08|2.05282e+08},{Aroostook County Maine|Maine}
{2.0533e+08|2.05334e+08},{Hancock County Maine|Maine}
{3.94455e+07|3.945e+07},{Maine|Penobscot County Maine}
{1.0062e+08|1.00621e+08},{Maine|Penobscot County Maine}
{9.4e+06|9.40166e+06},{Maine|Washington County Maine}
{4.19578e+06|4.2e+06},{Maryland|Somerset County Maryland}
{2.735e+07|2.73503e+07},{Maryland|Talbot County Maryland}
{5.28358e+07|5.29e+07},{Berkshire County Massachusetts|Massachusetts}
8.58e+07,{Bristol County Massachusetts|Massachusetts}
{3.47058e+07|3.48e+07},{Hampshire County Massachusetts|Massachusetts}
{8.8e+06|8.80596e+06},{Massachusetts|Middlesex County Massachusetts}
{1.31e+07|1.32089e+07},{Massachusetts|Middlesex County Massachusetts}
{1.06e+07|1.0619e+07},{Massachusetts|Middlesex County Massachusetts}
{4.35e+07|4.35118e+07},{Massachusetts|Norfolk County Massachusetts}
{5.56e+07|5.56847e+07},{Massachusetts|Plymouth County Massachusetts}
{1.52809e+07|1.53e+07},{Massachusetts|Suffolk County Massachusetts}
5.7e+06,{Massachusetts|Suffolk County Massachusetts}
{7.48e+07|7.48507e+07},{Massachusetts|Worcester County Massachusetts}
{4.53e+06|4.53248e+06},{Allegan County Michigan|Michigan}
{2.21185e+07|2.212e+07},{Alpena County Michigan|Michigan}
{2.92669e+06|2.93e+06},{Arenac County Michigan|Michigan}
{5.56847e+06|5.57e+06},{Arenac County Michigan|Michigan}
{3.36698e+06|3.37e+06},{Bay County Michigan|Michigan}
{3.54828e+06|3.55e+06},{Branch County Michigan|Michigan}
{1.62651e+07|1.627e+07},{Calhoun County Michigan|Michigan}
{9.47936e+06|9.48e+06},{Calhoun County Michigan|Michigan}
{5.30948e+06|5.31e+06},{Charlevoix County Michigan|Michigan}
{1.002e+07|1.00233e+07},{Clinton County Michigan|Michigan}
{2.64e+06|2.64179e+06},{Eaton County Michigan|Michigan}
{1.046e+07|1.04636e+07},{Genesee County Michigan|Michigan}
{1.53179e+08|1.5318e+08},{California|San Bernardino County California}
{8.65e+06|8.65056e+06},{Gratiot County Michigan|Michigan}
{1.32089e+07|1.321e+07},{Ingham County Michigan|Michigan}
{6.31957e+06|6.32e+06},{Ingham County Michigan|Michigan}
{1.38564e+07|1.386e+07},{Ionia County Michigan|Michigan}
{2.00465e+07|2.005e+07},{Isabella County Michigan|Michigan}
{7.58867e+06|7.59e+06},{Kent County Michigan|Michigan}
{5.413e+07|5.41308e+07},{Kent County Michigan|Michigan}
{7.45917e+06|7.46e+06},{Kent County Michigan|Michigan}
{6.38173e+07|6.382e+07},{Kent County Michigan|Michigan}
{6.94e+06|6.94117e+06},{Mackinac County Michigan|Michigan}
{8.52e+06|8.52106e+06},{Manistee County Michigan|Michigan}
{1.33384e+07|1.334e+07},{Menominee County Michigan|Michigan}
{3.26e+06|3.26339e+06},{Michigan|Midland County Michigan}
{3.23749e+06|3.24e+06},{Michigan|Missaukee County Michigan}
{2.69e+06|2.69359e+06},{Michigan|Montcalm County Michigan}
{1.642e+07|1.64205e+07},{Michigan|Montcalm County Michigan}
{5.56847e+06|5.57e+06},{Michigan|Montcalm County Michigan}
{1.68e+06|1.68349e+06},{Michigan|Newaygo County Michigan}
{4.299e+07|4.29938e+07},{Michigan|Oakland County Michigan}
{6.78577e+06|6.79e+06},{Michigan|Oakland County Michigan}
{1.2406e+07|1.241e+07},{Michigan|Oakland County Michigan}
{1.28463e+07|1.285e+07},{Michigan|Oakland County Michigan}
{5.69797e+06|5.7e+06},{Michigan|Oakland County Michigan}
{6.88937e+06|6.89e+06},{Michigan|Oakland County Michigan}
{8.619e+07|8.61948e+07},{Michigan|Oakland County Michigan}
{7.3e+06|7.30377e+06},{Michigan|Oakland County Michigan}
{3.80728e+06|3.81e+06},{Michigan|Oakland County Michigan}
{1.29e+06|1.29499e+06},{Michigan|Oakland County Michigan}
9.284e+07,Zeeland
3.018e+07,{Friesland|Súdwest-Fryslân}
3.1833e+08,Gelderland
{4.20096e+07|4.203e+07},Utrecht (province)
3.947e+07,Utrecht (province)
2.702e+07,North Brabant
{3.88e+06|3.88498e+06},{Michigan|Oakland County Michigan}
{1.336e+07|1.33643e+07},{Michigan|Oakland County Michigan}
{6.31957e+06|6.32e+06},{Michigan|Oakland County Michigan}
{5.172e+07|5.17221e+07},{Michigan|Oakland County Michigan}
{9.91965e+06|9.92e+06},{Michigan|Oakland County Michigan}
{1.13959e+06|1.14e+06},{Michigan|Oakland County Michigan}
{8.66869e+07|8.669e+07},{Michigan|Oakland County Michigan}
{2.79719e+06|2.8e+06},{Michigan|Ogemaw County Michigan}
{3.83e+06|3.83318e+06},{Michigan|Ogemaw County Michigan}
{7.74e+06|7.74406e+06},{Michigan|Ottawa County Michigan}
{1.494e+07|1.49442e+07},{Michigan|Ottawa County Michigan}
{1.072e+07|1.07226e+07},{Michigan|Ottawa County Michigan}
{7.74e+06|7.74406e+06},{Michigan|Ottawa County Michigan}
{4.491e+07|4.49104e+07},{Michigan|Saginaw County Michigan}
{5.54e+06|5.54257e+06},{Michigan|Sanilac County Michigan}
{8.26e+06|8.26206e+06},{Michigan|Schoolcraft County Michigan}
{7.58867e+06|7.59e+06},{Michigan|St. Clair County Michigan}
{3.57e+06|3.57418e+06},{Michigan|St. Clair County Michigan}
{2.09271e+07|2.093e+07},{Michigan|St. Clair County Michigan}
{7.22607e+06|7.23e+06},{Michigan|Tuscola County Michigan}
{5.49e+06|5.49077e+06},{Michigan|Tuscola County Michigan}
{3.44e+06|3.44468e+06},{Michigan|Van Buren County Michigan}
{9.4e+06|9.40166e+06},{Michigan|Washtenaw County Michigan}
{3.04065e+07|3.041e+07},{Michigan|Wayne County Michigan}
{1.691e+07|1.69126e+07},{Michigan|Monroe County Michigan|Wayne County Michigan}
{1.52e+07|1.52032e+07},{Michigan|Wayne County Michigan}
{9.79e+06|9.79016e+06},{Michigan|Wayne County Michigan}
{2.74539e+06|2.75e+06},{Michigan|Wayne County Michigan}
{7.12e+06|7.12247e+06},{Michigan|Wayne County Michigan}
{8.41746e+06|8.42e+06},{Michigan|Wayne County Michigan}
{5.62e+06|5.62027e+06},{Michigan|Wayne County Michigan}
{5.41e+06|5.41308e+06},{Michigan|Wayne County Michigan}
{7.69e+06|7.69226e+06},{Michigan|Wayne County Michigan}
{1.61874e+07|1.619e+07},{Michigan|Wayne County Michigan}
{5.72e+06|5.72387e+06},{Michigan|Wayne County Michigan}
1.137e+07,{Michigan|Wayne County Michigan}
{1.774e+07|1.77414e+07},{Michigan|Wayne County Michigan}
8.692e+07,{Anoka County Minnesota|Minnesota}
{8.90697e+07|8.907e+07},{Anoka County Minnesota|Minnesota}
{1.78709e+06|1.79e+06},{Anoka County Minnesota|Minnesota}
{7.46176e+07|7.462e+07},{Anoka County Minnesota|Minnesota}
{6.00877e+06|6.01e+06},{Beltrami County Minnesota|Minnesota}
{466198.0|470000.0},{Blue Earth County Minnesota|Minnesota}
{2.12e+06|2.12379e+06},{Blue Earth County Minnesota|Minnesota}
{5.128e+07|5.12818e+07},{Clay County Minnesota|Minnesota}
{3.96e+06|3.96268e+06},{Cottonwood County Minnesota|Minnesota}
{6.66663e+07|6.667e+07},{Crow Wing County Minnesota|Minnesota}
{3.85908e+06|3.86e+06},{Crow Wing County Minnesota|Minnesota}
{4.36672e+07|4.367e+07},{Dakota County Minnesota|Minnesota}
{6.45166e+07|6.452e+07},{Dakota County Minnesota|Minnesota}
{9.339e+07|9.3395e+07},{Dakota County Minnesota|Minnesota}
{1.27168e+07|1.272e+07},{Dakota County Minnesota|Minnesota}
{5.38718e+06|5.39e+06},{Dodge County Minnesota|Minnesota}
{4.13362e+07|4.134e+07},{Douglas County Minnesota|Minnesota}
{4.42888e+06|4.43e+06},{Fillmore County Minnesota|Minnesota}
{8.961e+07|8.96136e+07},{Goodhue County Minnesota|Minnesota}
{6.91527e+06|6.92e+06},{Goodhue County Minnesota|Minnesota}
{2.06163e+07|2.062e+07},{Hennepin County Minnesota|Minnesota}
{6.752e+07|6.7521e+07},{Hennepin County Minnesota|Minnesota}
1.67e+08,North Holland
{4.00153e+07|4.002e+07},{Hennepin County Minnesota|Minnesota}
{1.05672e+07|1.057e+07},{Hennepin County Minnesota|Minnesota}
{8.38379e+07|8.384e+07},{Hennepin County Minnesota|Minnesota}
{466198.0|470000.0},{Hennepin County Minnesota|Minnesota}
{6.97484e+07|6.975e+07},{Hennepin County Minnesota|Minnesota}
{4.1388e+07|4.139e+07},{Hennepin County Minnesota|Minnesota}
{1.779e+07|1.77932e+07},{Hennepin County Minnesota|Minnesota}
{8.464e+07|8.46408e+07},{Hennepin County Minnesota|Minnesota}
{1.5e+06|1.50219e+06},{Hennepin County Minnesota|Minnesota}
{7.97716e+06|7.98e+06},{Hennepin County Minnesota|Minnesota}
{8.31e+06|8.31386e+06},{Itasca County Minnesota|Minnesota}
{2.79719e+06|2.8e+06},{Kittson County Minnesota|Minnesota}
{6.78577e+06|6.79e+06},{Le Sueur County Minnesota|Minnesota}
{5.1e+06|5.10228e+06},{Lincoln County Minnesota|Minnesota}
{930000.0|932396.0},{Marshall County Minnesota|Minnesota}
{1.91659e+06|1.92e+06},{Martin County Minnesota|Minnesota}
{2.09789e+06|2.1e+06},{McLeod County Minnesota|Minnesota}
{3.0536e+07|3.054e+07},{Minnesota|Mower County Minnesota}
{1.96839e+06|1.97e+06},{Minnesota|Mower County Minnesota}
{2.66769e+06|2.67e+06},{Minnesota|Murray County Minnesota}
{850000.0|854696.0},{Minnesota|Norman County Minnesota}
{1.41387e+08|1.4139e+08},{Minnesota|Olmsted County Minnesota}
7.132e+07,{Goeree-Overflakkee|South Holland}
3.379e+07,South Holland
{490000.0|492098.0},{Minnesota|Pennington County Minnesota}
{1.53068e+07|1.531e+07},{Greater Grand Forks|Minnesota|Polk County Minnesota}
{1.76e+06|1.76119e+06},{Minnesota|Polk County Minnesota}
{7.38e+06|7.38147e+06},{Minnesota|Ramsey County Minnesota}
{2.02e+06|2.02019e+06},{Minnesota|Redwood County Minnesota}
{1.42e+06|1.42449e+06},{Minnesota|Redwood County Minnesota}
{2.74539e+06|2.75e+06},{Minnesota|Redwood County Minnesota}
{7.07e+06|7.07067e+06},{Minnesota|Rice County Minnesota}
{3.96786e+07|3.968e+07},{Minnesota|Rice County Minnesota}
{9.53e+06|9.53116e+06},{Minnesota|Rock County Minnesota}
{8.52e+06|8.52106e+06},{Minnesota|Scott County Minnesota}
{4.048e+07|4.04815e+07},{Minnesota|Scott County Minnesota}
{1.0953e+08|1.09531e+08},{Minnesota|Sherburne County Minnesota}
{8.85776e+06|8.86e+06},{Minnesota|Sherburne County Minnesota}
{7.07e+06|7.07067e+06},{Minnesota|St. Louis County Minnesota}
{3.15979e+06|3.16e+06},{Minnesota|Stearns County Minnesota}
{1.65759e+06|1.66e+06},{Minnesota|Stearns County Minnesota}
{1.00751e+07|1.008e+07},{Minnesota|Stearns County Minnesota}
{2.22739e+06|2.23e+06},{Minnesota|Stearns County Minnesota}
{980000.0|984195.0},{Minnesota|Stearns County Minnesota}
{2.305e+07|2.30509e+07},{Minnesota|Stearns County Minnesota}
{880000.0|880596.0},{Minnesota|Washington County Minnesota}
{8.70754e+07|8.708e+07},{Minnesota|Washington County Minnesota}
{1.42e+06|1.42449e+06},{Minnesota|Washington County Minnesota}
{1.00492e+07|1.005e+07},{Minnesota|Washington County Minnesota}
{1.01e+06|1.0101e+06},{Minnesota|Washington County Minnesota}
{7.74e+06|7.74406e+06},{Minnesota|Washington County Minnesota}
{1.80263e+07|1.803e+07},{Minnesota|Washington County Minnesota}
{8.995e+07|8.99503e+07},{Minnesota|Washington County Minnesota}
{6.21597e+06|6.22e+06},{Minnesota|Watonwan County Minnesota}
{4.87954e+07|4.88e+07},{Minnesota|Winona County Minnesota}
{1.04895e+07|1.049e+07},{Minnesota|Wright County Minnesota}
{8.477e+07|8.47703e+07},{Minnesota|Wright County Minnesota}
{670000.0|673397.0},{Minnesota|Yellow Medicine County Minnesota}
{7.89e+07|7.89946e+07},{Alcorn County Mississippi|Mississippi}
{3.41878e+07|3.42e+07},{Adams County Mississippi|Mississippi}
{1.57989e+07|1.58e+07},{Hancock County Mississippi|Mississippi}
{1.76e+07|1.76119e+07},{Hancock County Mississippi|Mississippi}
2.59e+07,{Harrison County Mississippi|Mississippi}
{1.4737e+08|1.474e+08},{Harrison County Mississippi|Mississippi}
{3.98858e+07|4e+07},{Jones County Mississippi|Mississippi}
{1.32348e+08|1.324e+08},{Lee County Mississippi|Mississippi}
{3.05e+07|3.05619e+07},{Mississippi|Pearl River County Mississippi}
{3e+07|3.00439e+07},{Mississippi|Pike County Mississippi}
{850000.0|854696.0},{Andrew County Missouri|Benton Township Andrew County Missouri|Missouri}
{8.33976e+06|8.34e+06},{Barry County Missouri|Flat Creek Township Barry County Missouri|Missouri}
{1.054e+07|1.05413e+07},{Bates County Missouri|Missouri}
{6.24e+06|6.24187e+06},{Benton County Missouri|Missouri}
{1.42e+06|1.42449e+06},{Caldwell County Missouri|Missouri}
{3.26e+06|3.26339e+06},{Christian County Missouri|Missouri}
{7.40737e+06|7.41e+06},{Dallas County Missouri|Missouri}
{2.56e+06|2.56409e+06},{DeKalb County Missouri|Missouri}
{8.54696e+06|8.55e+06},{Douglas County Missouri|Missouri}
{6.83757e+06|6.84e+06},{Gasconade County Missouri|Missouri}
{6.81e+06|6.81167e+06},{Greene County Missouri|Missouri}
{1.63e+06|1.63169e+06},{Grundy County Missouri|Missouri}
{647497.0|650000.0},{Henry County Missouri|Missouri}
{2.53819e+06|2.54e+06},{Henry County Missouri|Missouri}
{2.14969e+06|2.15e+06},{Iron County Missouri|Missouri}
{5.93e+06|5.93107e+06},{Lewis County Missouri|Missouri}
{1.32e+06|1.32089e+06},{Macon County Missouri|Missouri}
{1.243e+07|1.24319e+07},{Mississippi County Missouri|Missouri}
{1.19e+06|1.19139e+06},{Missouri|Montgomery County Missouri}
{1.14477e+07|1.145e+07},{Missouri|Newton County Missouri}
{4.074e+07|4.07405e+07},{Missouri|Newton County Missouri}
{3.442e+07|3.44209e+07},{Missouri|Pettis County Missouri}
{1.19e+06|1.19139e+06},{Missouri|Pike County Missouri}
{2.14451e+07|2.145e+07},{Missouri|Polk County Missouri}
{4.01e+06|4.01448e+06},{Missouri|Polk County Missouri}
{776996.0|780000.0},{Missouri|Reynolds County Missouri}
{517998.0|520000.0},{Missouri|Scotland County Missouri}
{4.86918e+06|4.87e+06},{Missouri|Shannon County Missouri}
{1.046e+07|1.04636e+07},{Missouri|St. Francois County Missouri}
{1.287e+07|1.28722e+07},{Missouri|St. Louis County Missouri}
{3.781e+07|3.78138e+07},{Missouri|St. Louis County Missouri}
{3.253e+07|3.25303e+07},{Missouri|St. Louis County Missouri}
{1.89e+06|1.89069e+06},{Missouri|St. Louis County Missouri}
{3.7e+06|3.70368e+06},{Missouri|Sullivan County Missouri}
{9.94555e+06|9.95e+06},{Missouri|Texas County Missouri}
{7.125e+07|7.12506e+07},{Missoula County Montana|Montana}
{3.03e+06|3.03029e+06},{Montana|Sheridan County Montana}
{4.73968e+06|4.74e+06},{Montana|Teton County Montana}
{4.92e+06|4.92098e+06},{Custer County Nebraska|Nebraska}
{9.97e+06|9.97145e+06},{Dawes County Nebraska|Nebraska}
{3.47e+06|3.47058e+06},{Furnas County Nebraska|Nebraska}
{1.99e+06|1.99429e+06},{Gage County Nebraska|Nebraska}
{2.69e+06|2.69359e+06},{Garfield County Nebraska|Nebraska}
{6.00877e+06|6.01e+06},{Merrick County Nebraska|Nebraska}
{4.105e+07|4.10513e+07},{Nebraska|Sarpy County Nebraska}
{1.67054e+07|1.671e+07},{Nebraska|Sarpy County Nebraska}
{1.836e+07|1.8363e+07},{Michigan|Oakland County Michigan}
{1.24578e+07|1.246e+07},{Michigan|Ottawa County Michigan}
{5.248e+08|5.24887e+08},Nevada
{3.96268e+07|3.97e+07},{Clark County Nevada|Nevada}
{6.75987e+06|6.76e+06},{Michigan|Wayne County Michigan}
{1.5255e+07|1.526e+07},{Michigan|Wayne County Michigan}
{9.246e+07|9.24626e+07},{Michigan|Wayne County Michigan}
{5.51667e+06|5.52e+06},{Anoka County Minnesota|Minnesota}
{5.85596e+07|5.856e+07},{Anoka County Minnesota|Minnesota}
{6.094e+07|6.09424e+07},{Anoka County Minnesota|Minnesota}
{1.57989e+07|1.58e+07},{Benton County Minnesota|Minnesota}
{4.79e+06|4.79148e+06},{Brown County Minnesota|Minnesota}
{1.78e+07|1.78709e+07},Nevada
{1.52809e+06|1.53e+06},{Chisago County Minnesota|Minnesota}
{4.8e+06|4.92098e+06},Nevada
2.23e+07,{Lyon County Nevada|Nevada}
2.33099e+06,{Nevada|Pershing County Nevada}
{3.67778e+06|3.68e+06},{Dodge County Minnesota|Minnesota}
{2.22739e+06|2.23e+06},{Douglas County Minnesota|Minnesota}
{8.45372e+07|8.454e+07},{Hennepin County Minnesota|Minnesota}
{8.982e+07|8.98208e+07},{Hennepin County Minnesota|Minnesota}
{2.08494e+07|2.085e+07},{Hennepin County Minnesota|Minnesota}
{2.75575e+07|2.756e+07},{Hennepin County Minnesota|Minnesota}
{1.83889e+07|1.85e+07},Nevada
{1.99e+06|1.99429e+06},{Minnesota|Pennington County Minnesota}
{2.2248e+07|2.225e+07},{Minnesota|Ramsey County Minnesota}
{6.91527e+06|6.92e+06},{Minnesota|Stearns County Minnesota}
{1.033e+07|1.03341e+07},{Minnesota|Stearns County Minnesota}
7.915e+07,{Minnesota|Washington County Minnesota}
{8.75e+07|8.75416e+07},{DeSoto County Mississippi|Mississippi}
{1.89069e+07|1.9e+07},{Lincoln County Mississippi|Mississippi}
{1.52809e+06|1.53e+06},{Caldwell County Missouri|Missouri}
{3.47e+06|3.47058e+06},{Crawford County Missouri|Missouri}
{725197.0|730000.0},{Lafayette County Missouri|Missouri}
{8.23098e+07|8.231e+07},{Missouri|St. Louis County Missouri}
{6.42e+06|6.42317e+06},{Missouri|St. Louis County Missouri}
{2.35689e+07|2.357e+07},{Missouri|St. Louis County Missouri}
{3.8316e+07|3.83163e+07},{Hudson County New Jersey|New Jersey}
{6.06834e+06|6.07e+06},{New Jersey|Salem County New Jersey}
{1.2277e+08|1.9759e+08},{Doña Ana County New Mexico|New Mexico}
{2.73e+07|2.74539e+07},{Doña Ana County New Mexico|New Mexico}
{2.17e+07|2.17559e+07},{Hidalgo County New Mexico|New Mexico}
{4.99868e+07|5.01e+07},{New Mexico|Otero County New Mexico}
{2.17e+07|2.17559e+07},{Cayuga County New York|New York}
{2.294e+07|2.33099e+07},{Chautauqua County New York|New York}
{1.24e+07|1.24319e+07},{Dutchess County New York|New York}
{1.57989e+07|1.59e+07},{Erie County New York|New York}
1.3183e+07,{Fulton County New York|New York}
{1.9399e+08|1.941e+08},{New York|Oneida County New York}
{6.47497e+06|6.6e+06},{New York|Orange County New York}
2.69359e+07,{New York|Rensselaer County New York}
1.51463e+08,{New York|New York City}
{1.31e+07|1.32089e+07},{New York|St. Lawrence County New York}
{9.84195e+06|9.9e+06},Warren County New York
2.53e+07,Westchester County New York
{2.121e+07|2.1212e+07},{Beaufort County North Carolina|North Carolina}
{1.05931e+08|1.06e+08},{Buncombe County North Carolina|North Carolina}
